system:index,grid_id,mean,.geo
00000000000000000000,GRID_0000,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.200001331949064],[78.23945396513481,17.2090087340811],[78.23000063319306,17.20900872306889],[78.23000063319306,17.20000128893023],[78.23945396513481,17.200001331949064]]]}"
00000000000000000001,GRID_0001,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.2090087340811],[78.23945396513481,17.21801603530098],[78.23000063319306,17.21801605633088],[78.23000063319306,17.20900872306889],[78.23945396513481,17.2090087340811]]]}"
00000000000000000002,GRID_0002,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.21801603530098],[78.23945396513481,17.227027938055315],[78.23000063319306,17.22702790230378],[78.23000063319306,17.21801605633088],[78.23945396513481,17.21801603530098]]]}"
00000000000000000003,GRID_0003,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.227027938055315],[78.23945396513481,17.236035301684176],[78.23000063319306,17.236035298035404],[78.23000063319306,17.22702790230378],[78.23945396513481,17.227027938055315]]]}"
00000000000000000004,GRID_0004,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.236035301684176],[78.23945396513481,17.24504717702957],[78.23000063319307,17.245047116655584],[78.23000063319306,17.236035298035404],[78.23945396513481,17.236035301684176]]]}"
00000000000000000005,GRID_0005,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.24504717702957],[78.23945396513481,17.25405451147857],[78.23000063319306,17.254054572017072],[78.23000063319307,17.245047116655584],[78.23945396513481,17.24504717702957]]]}"
00000000000000000006,GRID_0006,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.25405451147857],[78.23945396513481,17.263061918933985],[78.23000063319306,17.263061922922134],[78.23000063319306,17.254054572017072],[78.23945396513481,17.25405451147857]]]}"
00000000000000000007,GRID_0007,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.263061918933985],[78.23945396513481,17.272073747726626],[78.23000063319306,17.272073783829057],[78.23000063319306,17.263061922922134],[78.23945396513481,17.263061918933985]]]}"
00000000000000000008,GRID_0008,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.272073747726626],[78.23945396513481,17.28108112172909],[78.23000063319306,17.28108110133735],[78.23000063319306,17.272073783829057],[78.23945396513481,17.272073747726626]]]}"
00000000000000000009,GRID_0009,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.28108112172909],[78.23945396513481,17.29008856661398],[78.23000063319307,17.290088489752197],[78.23000063319306,17.28108110133735],[78.23945396513481,17.28108112172909]]]}"
0000000000000000000a,GRID_0010,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.29008856661398],[78.23945396513481,17.299100342434503],[78.23000063319306,17.29910038654305],[78.23000063319307,17.290088489752197],[78.23945396513481,17.29008856661398]]]}"
0000000000000000000b,GRID_0011,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.299100342434503],[78.23945396513481,17.308107749594853],[78.23000063319306,17.308107737292843],[78.23000063319306,17.29910038654305],[78.23945396513481,17.299100342434503]]]}"
0000000000000000000c,GRID_0012,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.308107749594853],[78.23945396513481,17.317115136741936],[78.23000063319306,17.317115156825867],[78.23000063319306,17.308107737292843],[78.23945396513481,17.308107749594853]]]}"
0000000000000000000d,GRID_0013,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.317115136741936],[78.23945396513481,17.3261269419457],[78.23000063319307,17.326126994333322],[78.23000063319306,17.317115156825867],[78.23945396513481,17.317115136741936]]]}"
0000000000000000000e,GRID_0014,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.3261269419457],[78.23945396513481,17.335134375870553],[78.23000063319307,17.33513437193119],[78.23000063319307,17.326126994333322],[78.23945396513481,17.3261269419457]]]}"
0000000000000000000f,GRID_0015,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.335134375870553],[78.23945396513481,17.344146226760838],[78.23000063319306,17.344146166405693],[78.23000063319307,17.33513437193119],[78.23945396513481,17.335134375870553]]]}"
00000000000000000010,GRID_0016,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.344146226760838],[78.23945396513481,17.353153615845006],[78.23000063319306,17.353153587998946],[78.23000063319306,17.344146166405693],[78.23945396513481,17.344146226760838]]]}"
